"id","source","target","type","fidelity","likelihood"
"bar.requisition_approval_public_posting->precedes->bar.outbound_sourcing_talent_pool_contact","bar.requisition_approval_public_posting","bar.outbound_sourcing_talent_pool_contact","precedes","",""
"bar.requisition_approval_public_posting->precedes->bar.application_ingestion","bar.requisition_approval_public_posting","bar.application_ingestion","precedes","",""
"bar.outbound_sourcing_talent_pool_contact->precedes->bar.application_ingestion","bar.outbound_sourcing_talent_pool_contact","bar.application_ingestion","precedes","",""
"bar.outbound_sourcing_talent_pool_contact->precedes->bar.recruiter_screening_call","bar.outbound_sourcing_talent_pool_contact","bar.recruiter_screening_call","precedes","",""
"bar.application_ingestion->precedes->bar.automated_filter_parser_threshold","bar.application_ingestion","bar.automated_filter_parser_threshold","precedes","",""
"bar.automated_filter_parser_threshold->precedes->bar.inbound_screening_triage","bar.automated_filter_parser_threshold","bar.inbound_screening_triage","precedes","",""
"bar.automated_filter_parser_threshold->precedes->bar.recruiter_screening_call","bar.automated_filter_parser_threshold","bar.recruiter_screening_call","precedes","",""
"bar.inbound_screening_triage->precedes->bar.recruiter_screening_call","bar.inbound_screening_triage","bar.recruiter_screening_call","precedes","",""
"bar.recruiter_screening_call->precedes->bar.technical_screen_live_assessment","bar.recruiter_screening_call","bar.technical_screen_live_assessment","precedes","",""
"bar.technical_screen_live_assessment->precedes->bar.take_home_work_sample_evaluation","bar.technical_screen_live_assessment","bar.take_home_work_sample_evaluation","precedes","",""
"bar.technical_screen_live_assessment->precedes->bar.hiring_manager_in_depth_review","bar.technical_screen_live_assessment","bar.hiring_manager_in_depth_review","precedes","",""
"bar.take_home_work_sample_evaluation->precedes->bar.hiring_manager_in_depth_review","bar.take_home_work_sample_evaluation","bar.hiring_manager_in_depth_review","precedes","",""
"bar.hiring_manager_in_depth_review->precedes->bar.team_cross_functional_panel","bar.hiring_manager_in_depth_review","bar.team_cross_functional_panel","precedes","",""
"bar.team_cross_functional_panel->precedes->bar.compensation_levelling_reconciliation","bar.team_cross_functional_panel","bar.compensation_levelling_reconciliation","precedes","",""
"bar.compensation_levelling_reconciliation->precedes->bar.headcount_executive_budget_approval","bar.compensation_levelling_reconciliation","bar.headcount_executive_budget_approval","precedes","",""
"bar.headcount_executive_budget_approval->precedes->bar.reference_background_verification","bar.headcount_executive_budget_approval","bar.reference_background_verification","precedes","",""
"bar.reference_background_verification->precedes->bar.offer_closing_contract_execution","bar.reference_background_verification","bar.offer_closing_contract_execution","precedes","",""
"mech.ats_parser_extraction_failure->operates_at->bar.application_ingestion","mech.ats_parser_extraction_failure","bar.application_ingestion","operates_at","",""
"mech.ats_parser_extraction_failure->operates_at->bar.automated_filter_parser_threshold","mech.ats_parser_extraction_failure","bar.automated_filter_parser_threshold","operates_at","",""
"mech.ats_parser_extraction_failure->emits->A-001","mech.ats_parser_extraction_failure","A-001","emits","void","medium"
"mech.ats_parser_extraction_failure->emits->A-009","mech.ats_parser_extraction_failure","A-009","emits","direct","high"
"mech.ats_parser_extraction_failure->amplifies->mech.automated_keyword_qualification_filter","mech.ats_parser_extraction_failure","mech.automated_keyword_qualification_filter","amplifies","",""
"mech.automated_application_expiration_timeout->operates_at->bar.application_ingestion","mech.automated_application_expiration_timeout","bar.application_ingestion","operates_at","",""
